>python -u "runit.py"
./timeucds/ucds0
2940.775879, 1264.725098, 3435.791260, 2970.955078, 2990.623535, 1268.942627, 345.804260, 1270.291138, 390.379944, 146.465958, 432.745178; 1797.481079 - 1814.861450 - 1818.488281 - 1807.931274 - 1806.007690 - 1797.342651 - 1850.533325 - 1846.535034 - 1794.429565 - 1782.199585 - 1804.369019 - 1783.381348 - 1802.706787 - 1787.151611 - 1802.579834 - 1800.560059 - 1832.956665 - 1838.963501 - 1858.404419 - 1862.925781 - 131072
2963.781982, 1268.384521, 3444.119629, 2996.210449, 2982.516846, 1269.769043, 346.105316, 1269.812012, 412.301270, 144.383881, 437.400635; 1724.735962 - 1743.390137 - 1704.660278 - 1724.723755 - 1720.084595 - 1718.443848 - 1753.837036 - 1751.202148 - 1733.962158 - 1650.716675 - 1651.980957 - 1744.773560 - 1740.562500 - 1718.276489 - 1739.646851 - 1743.135742 - 1787.443848 - 1788.197266 - 1825.955444 - 1803.021484 - 262144
2810.719482, 1268.306519, 3239.459229, 2899.077393, 2887.867432, 1269.220581, 345.611938, 1269.399170, 389.640686, 147.973160, 426.274139; 1602.495850 - 1599.879395 - 1472.247559 - 1559.278564 - 1609.835205 - 1617.086426 - 1661.452271 - 1645.123047 - 1533.960083 - 1561.271484 - 1521.022339 - 1486.539795 - 1599.679077 - 1668.401611 - 1650.860229 - 1663.070923 - 1660.271729 - 1688.108643 - 1701.358154 - 1621.256592 - 524288
2099.925049, 1261.977173, 2200.668701, 2183.666504, 2193.346436, 1260.169189, 344.726074, 1248.163696, 389.638794, 146.453537, 428.442108; 1115.419922 - 1127.928711 - 1127.722046 - 1120.849121 - 1128.271240 - 1132.182495 - 1144.184082 - 1151.351196 - 1158.842285 - 1153.591553 - 1164.020752 - 1166.183594 - 1166.172729 - 1163.314697 - 1122.823853 - 1166.501831 - 1178.119263 - 1178.723755 - 1177.809692 - 1167.553101 - 1048576
1550.658691, 1260.092651, 1592.826660, 1569.362305, 1592.362061, 1260.765991, 343.986969, 1251.558350, 405.133057, 146.924637, 433.834015; 998.236389 - 1004.253357 - 1000.305481 - 996.389038 - 1000.925110 - 995.555298 - 1031.630981 - 1032.311768 - 1036.531006 - 1015.538269 - 1073.012207 - 1071.941650 - 1071.656372 - 1057.916260 - 1071.786621 - 1071.618042 - 1055.139648 - 1051.001343 - 1087.502686 - 1078.122314 - 2097152
369.021057, 1246.198486, 1475.194580, 1506.396729, 1486.570068, 1246.898071, 344.179626, 1243.579468, 395.503815, 146.425095, 427.317535; 39.588982 - 60.801975 - 213.664841 - 344.175690 - 122.129570 - 242.198822 - 235.547958 - 220.131287 - 241.112320 - 633.908813 - 1040.703735 - 1056.962769 - 984.404663 - 1045.333496 - 1055.359619 - 1009.336365 - 71.248596 - 191.108658 - 1018.753479 - 1052.539307 - 4194304
./timeucds/mpucds3
7555.627441, 3797.427246, 9236.406250, 7854.643066, 7908.480957, 3944.007812, 1244.214233, 15.474288, 6.498201, 6.415993, 6.488084; 123.948097 - 3899.912354 - 139.146149 - 3868.548584 - 156.700775 - 3909.991943 - 165.813644 - 4500.631836 - 180.662491 - 4942.726074 - 202.309845 - 5273.769531 - 175.061966 - 5320.264160 - 218.329742 - 5338.179688 - 170.246719 - 4664.554688 - 190.276154 - 5421.453125 - 16384
8810.733398, 3420.423584, 11338.604492, 9402.447266, 9410.007812, 4365.486816, 1190.245728, 13.203421, 6.484884, 6.139231, 6.549754; 128.452118 - 4098.669434 - 222.278473 - 4213.905273 - 231.348526 - 4184.935059 - 276.047394 - 4796.689941 - 194.053741 - 5236.799805 - 197.785324 - 5387.458496 - 235.880096 - 6035.828613 - 189.238708 - 5354.737793 - 240.698059 - 5480.623047 - 238.402740 - 4944.776855 - 32768
9606.496094, 4556.332031, 12608.654297, 9807.474609, 10323.149414, 4555.999512, 1210.614258, 10.248064, 6.681097, 6.699065, 6.805684; 132.197937 - 4446.639648 - 193.978653 - 4546.536133 - 190.565598 - 4662.379883 - 297.814270 - 5244.409180 - 234.375519 - 5462.985840 - 258.247742 - 5592.161621 - 265.848419 - 5524.682129 - 260.598083 - 3503.451172 - 312.175751 - 4299.736816 - 357.228790 - 4387.398438 - 65536
